Job Title,Job Link,Company,Location,Skills
Full Stack Developer - Freelancer Or Full Time,https://wuzzuf.net/jobs/p/hovkh1xgj3ba-full-stack-developer---freelancer-or-full-time-hiremoters-cairo-egypt,HiRemoters -,"Cairo, Egypt ",Full TimePart TimeRemoteExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Bootstrap · AWS · Agile · Computer Science · Information Technology (IT) · Node.js · MVC
Senior Full Stack .Net Developer,https://wuzzuf.net/jobs/p/xeevdjxn0t8i-senior-full-stack-net-developer-aliaict-cairo-egypt,Aliaict -,"Nasr City, Cairo, Egypt ",Full TimeHybridExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · developer · full stack .NET · Information Technology (IT) · JavaScript · NET · senior · Software Development
Senior Projects Sales Specialist (L.V Panels),https://wuzzuf.net/jobs/p/v5mixpi3tmfe-senior-projects-sales-specialist-lv-panels-mb-for-engineering-giza-egypt,MB for Engineering   -,"Giza, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Project/Program Management · Sales/Retail · Engineering - Telecom/Technology · Sales · sales skills · Low Voltage · Panels · Business Development · Presentation Skills · Projects
Senior PHP Developer,https://wuzzuf.net/jobs/p/Nz3ia8wFaJFP-Senior-PHP-Developer-Expert-Apps-Cairo-Egypt,Expert Apps -,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · PHP · Computer Science · Software Development · MVC · Laravel · Programming
Flutter Mobile App Developer,https://wuzzuf.net/jobs/p/tihxu6qcjhix-flutter-mobile-app-developer-almar-prog-cairo-egypt,Almar Prog -,"Qasr ِAlnil, Cairo, Egypt ",Full TimeRemoteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · app · mobile apps · iOS · Mobile · Mobile App · Software Development · Information Technology (IT) · Version Control
Senior Full Stack Engineer - Node.js + Angular,https://wuzzuf.net/jobs/p/FBURsuaVopDn-Senior-Full-Stack-Engineer---Nodejs-Angular-Cairo-Egypt,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software · Software Development · Angular · Node.js · JavaScript
Software Tester,https://wuzzuf.net/jobs/p/5y4idff32gcr-software-tester-selah-eltelmeez-for-publishing-printing-cairo-egypt,Selah ElTelmeez For Publishing & printing -,"Obour City, Cairo, Egypt ",Full TimeOn-siteExperienced · 0 - 1 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · API · JMeter · ISTQB · Testing · Software Engineering · Software Development
Technical Office Director/ Engineering Director,https://wuzzuf.net/jobs/p/lxc440rpjzez-technical-office-director-engineering-director-cairo-egypt,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteSenior Management · 15 - 20 Yrs of Exp · Engineering - Construction/Civil/Architecture · Operations/Management · Civil Engineering · Agile · Director · Engineering · Project · Project Management · Management · MSc
Senior GIS Developer,https://wuzzuf.net/jobs/p/o5D0HEob5xnA-Senior-GIS-Developer-Syad-Tech-Cairo-Egypt,Syad Tech -,"Cairo, Egypt ",Full TimeRemoteExperienced · 5 - 10 Yrs of Exp · IT/Software Development · HTML5 · .Net · CSS3 · JavaScript · Python · ASP.Net · GIS · Esri
PHP Laravel Developer,https://wuzzuf.net/jobs/p/PFp3TNh7RJ08-PHP-Laravel-Developer-Nano-Shield-Cairo-Egypt,Nano Shield -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Laravel · PHP · JavaScript · CSS · HTML · Information Technology (IT) · Software Development
